id,genre
3291502,Comedy
3291530,Comedy
3291530,Romance
3291550,Horror
3291567,Comedy
3291569,Drama
3291572,Drama
3291611,Action
3291611,Horror
3291642,Action
3291757,Drama
3291773,Crime
3291773,Drama
3291777,Comedy
3291777,Drama
3291819,Comedy
3291819,Drama
3291819,Romance
3291825,Comedy
3291831,Horror
3291911,Comedy
3291939,Comedy
3291945,Comedy
3291946,Drama
3291950,Horror
3291968,Action
3291984,Comedy
3291984,Drama
3291984,Romance
3291995,Drama
3292033,Drama
3292033,Romance
3292082,Action
3292082,Adventure
3292082,Fantasy
3292082,Sci-Fi
3292087,Fantasy
3292111,Comedy
3292147,Comedy
3292149,Comedy
3292151,Drama
3292161,Comedy
3292169,Horror
3292169,Thriller
3292172,Horror
3292176,Drama
3292193,Comedy
3292228,Action
3292228,Comedy
3292228,Crime
3292243,Comedy
3292244,Comedy
3292326,Comedy
3292359,Comedy
3292359,Drama
3292359,Romance
3292359,Sport
3292379,Action
3292379,Horror
3292379,Thriller
3292447,Action
3292447,Fantasy
3292470,Comedy
3292481,Action
3292481,Animation
3292481,Comedy
3292481,Sci-Fi
3292508,Adventure
3292508,Comedy
3292508,Drama
3292638,Thriller
3292694,Comedy
3292731,Comedy
3292731,Romance
3292737,Comedy
3292737,Drama
3292802,Comedy
3292829,Thriller
3292830,Drama
3292927,Mystery
3292927,Romance
3292927,Thriller
3293011,Comedy
3293063,Adventure
3293063,Crime
3293063,Drama
3293063,Western
3293066,Drama
3293091,Comedy
3293091,Horror
3293125,Adventure
3293126,Adventure
3293200,Comedy
3293239,Adventure
3293240,Crime
3293240,Drama
3293240,Family
3293249,Drama
3293249,Mystery
3293249,Thriller
3293250,Comedy
3293250,Romance
3293282,Reality-TV
3293287,Reality-TV
3293361,Drama
3293361,Mystery
3293361,Sci-Fi
3293465,Comedy
3293481,Comedy
3293481,Drama
3293481,Romance
3293608,Drama
3293659,Action
3293659,Adventure
3293659,Sci-Fi
3293659,Thriller
3293673,Comedy
3293720,Drama
3293725,Drama
3293750,Drama
3293750,Thriller
3293791,Comedy
3293800,Mystery
3293800,Sci-Fi
3293800,Thriller
3293898,Action
3293912,Drama
3293914,Crime
3293914,Drama
3293914,Thriller
3293929,Biography
3293929,Drama
3293929,Sport
3293948,Comedy
3293948,Drama
3293948,Family
3293948,Romance
3293967,Action
3294062,Drama
3294066,Drama
3294109,Drama
3294114,Comedy
3294151,Comedy
3294193,Action
3294193,Adventure
3294193,Drama
3294193,Fantasy
3294200,History
3294202,History
3294219,Adventure
3294347,Thriller
3294348,Action
3294348,Adventure
3294348,Fantasy
3294348,Sci-Fi
3294348,Thriller
3294363,Comedy
3294373,Drama
3294373,Fantasy
3294373,Sci-Fi
3294420,Action
3294420,Thriller
3294420,Western
3294436,Drama
3294453,Comedy
3294453,Drama
3294454,Sport
3294570,Drama
3294570,Mystery
3294570,Thriller
3294607,Comedy
3294635,Drama
3294689,Comedy
3294689,Drama
3294689,Romance
3294725,Drama
3294759,Horror
3294759,Mystery
3294759,Sci-Fi
3294771,Thriller
3294772,Comedy
3294772,Drama
3294772,Thriller
3294780,Drama
3294812,Comedy
3294812,Drama
3294812,Musical
3294833,Drama
3294833,Sci-Fi
3294839,Thriller
3294851,Comedy
3294868,Drama
3294875,Comedy
3294875,Drama
3294875,Romance
3295068,Adventure
3295068,Comedy
3295113,Horror
3295132,Drama
3295145,Sport
3295151,Comedy
3295202,Comedy
3295202,Drama
3295202,Romance
3295246,Action
3295246,Sci-Fi
3295297,Thriller
3295319,Horror
3295319,Sci-Fi
3295354,Drama
3295354,Thriller
3295425,Drama
3295447,Action
3295447,Adventure
3295447,Drama
3295447,Fantasy
3295447,Sci-Fi
3295453,Comedy
3295494,Crime
3295494,Drama
3295502,Drama
3295548,Action
3295548,Drama
3295548,Thriller
3295575,Drama
3295617,Drama
3295617,Thriller
3295631,Reality-TV
3295642,Crime
3295642,Drama
3295643,Comedy
3295648,Crime
3295674,Crime
3295674,Drama
3295674,News
3295680,Crime
3295681,Adventure
3295681,Biography
3295681,Drama
3295681,Thriller
3295689,Action
3295689,Crime
3295689,Drama
3295689,Thriller
3295692,Action
3295692,Adventure
3295692,Western
3295702,Comedy
3295702,Drama
3295712,Horror
3295720,Comedy
3295725,Action
3295730,Comedy
3295730,Drama
3295730,Thriller
3295734,Drama
3295734,Thriller
3295734,War
3295743,Family
3295743,Romance
3295760,Comedy
3295760,Drama
3295760,Romance
3295780,Horror
3295783,Comedy
3295788,Comedy
3295825,Horror
3295825,Mystery
3295825,Thriller
3295841,Crime
3295841,Mystery
3295841,Thriller
3295850,Drama
3295850,Romance
3296053,Horror
3296072,Action
3296072,Sci-Fi
3296140,Mystery
3296140,Thriller
3296148,Drama
3296180,Horror
3296181,Horror
3296184,Horror
3296207,Crime
3296207,Thriller
3296218,Comedy
3296218,Crime
3296218,Romance
3296218,Thriller
3296315,Comedy
3296315,Horror
3296326,Drama
3296330,Romance
3296372,Reality-TV
3296412,Drama
3296419,Horror
3296437,Comedy
3296441,Action
3296441,Drama
3296441,Thriller
3296444,Comedy
3296456,Sci-Fi
3296477,Comedy
3296477,Drama
3296477,Family
3296482,Mystery
3296491,Biography
3296491,Comedy
3296491,Crime
3296491,Drama
3296491,Family
3296491,Horror
3296491,Music
3296514,Horror
3296518,Drama
3296520,Horror
3296567,Comedy
3296567,Drama
3296567,Romance
3296593,Crime
3296593,Drama
3296593,Thriller
3296623,Horror
3296674,Horror
3296683,Action
3296683,Drama
3296706,Musical
3296718,Horror
3296718,Thriller
3296752,Comedy
3296752,Sport
3296804,Comedy
3296804,Crime
3296804,Mystery
3296804,Thriller
3296878,Action
3296881,Comedy
3296891,Drama
3296932,Drama
3296957,Crime
3296957,Drama
3296988,Crime
3297010,Drama
3297097,Drama
3297097,Thriller
3297099,Horror
3297099,Thriller
3297109,Thriller
3297134,Horror
3297153,Reality-TV
3297161,Drama
3297208,Horror
3297215,Drama
3297236,Drama
3297236,Thriller
3297259,Horror
3297341,Horror
3297341,Thriller
3297346,Comedy
3297346,Drama
3297367,Drama
3297489,Comedy
3297489,Drama
3297489,Romance
3297565,Comedy
3297565,Drama
3297604,Horror
3297605,Horror
3297605,Thriller
3297647,Crime
3297647,Drama
3297647,Mystery
3297647,Thriller
3297684,Horror
3297710,Drama
3297720,Musical
3297756,Drama
3297756,Sport
3297777,Action
3297777,Adventure
3297777,Animation
3297777,Drama
3297777,Mystery
3297777,Sci-Fi
3297777,Thriller
3297807,Comedy
3297807,Horror
3297807,Romance
3297825,Thriller
3297830,Drama
3297830,Romance
3297846,Drama
3297850,Comedy
3297850,Drama
3297853,Thriller
3297898,Drama
3297927,Horror
3297952,Animation
3297956,Drama
3297956,Sport
3297973,Action
3297973,Drama
3298089,Drama
3298090,Sci-Fi
3298090,Thriller
3298105,Comedy
3298128,Drama
3298128,Horror
3298128,Sci-Fi
3298245,Drama
3298274,Sci-Fi
3298274,Thriller
3298284,Drama
3298284,Thriller
3298285,Drama
3298285,Mystery
3298285,Sci-Fi
3298285,Thriller
3298299,Drama
3298299,War
3298368,Drama
3298374,Musical
3298376,Comedy
3298376,Drama
3298376,Romance
3298411,Comedy
3298427,Horror
3298443,Comedy
3298443,Drama
3298469,Action
3298478,Drama
3298542,Comedy
